open:开,打开,开启,开动,启动,开起
close:关,关闭,合上,关掉,停用
adjust:调节,调整,调校,调暗,调亮
clean:清洁,打扫,清理
control_projector:控制投影仪,投影仪操作,投影仪开关
set_exercise_mode:设置锻炼模式,锻炼设置,锻炼计划
manage_smart_watch:管理智能手表,手表控制,手表管理
play_music_station:播放音乐电台,启动电台,音乐电台
set_ambient_mode:设置环境模式,环境设置,氛围模式
manage_smart_fridge:管理智能冰箱,冰箱控制,冰箱管理
play_music_album:播放音乐专辑,启动专辑,音乐专辑
set_learning_mode:设置学习模式,学习设置,学习计划
manage_smart_lock:管理智能门锁,门锁控制,门锁管理
play_music_track:播放音乐曲目,启动曲目,音乐曲目
set_night_mode:设置夜间模式,夜间设置,夜间模式
manage_smart_lights:管理智能灯光,灯光控制,灯光管理
play_podcast_episode:播放播客节目,启动播客,播客播放
set_reading_mode:设置阅读模式,阅读设置,阅读计划
manage_smart_thermostat:管理智能恒温器,恒温器控制,恒温器管理
play_radio_station:播放电台,启动电台,电台播放
set_relax_mode:设置放松模式,放松设置,放松计划
manage_smart_tv:管理智能电视,电视控制,电视管理
play_song:播放歌曲,启动歌曲,歌曲播放
set_sports_mode:设置运动模式,运动设置,运动计划
manage_smart_speaker:管理智能音箱,音箱控制,音箱管理
play_video:播放视频,启动视频,视频播放
set_study_mode:设置学习模式,学习设置,学习计划
manage_smart_toaster:管理智能烤面包机,烤面包机控制,烤面包机管理
play_voice_message:播放语音信息,启动语音信息,语音信息播放
set_travel_plan:设置旅行计划,旅行设置,旅行规划
manage_smart_vacuum:管理智能吸尘器,吸尘器控制,吸尘器管理
record_message:录制信息,录制语音,信息录制
set_tv_channel:设置电视频道,电视频道,频道选择
manage_smart_watch:管理智能手表,手表控制,手表管理
record_video:录制视频,录制影片,视频录制
set_up_routine:设置日常程序,程序设置,日常计划
manage_smart_water_heater:管理智能热水器,热水器控制,热水器管理
schedule:安排,计划,日程安排
set_wallpaper:设置壁纸,壁纸更换,壁纸设置
manage_smart_weight_scale:管理智能体重秤,体重秤控制,体重秤管理
schedule_appointment:安排预约,预约设置,预约计划
set_wall_clock:设置墙钟,墙钟设置,时间显示
manage_smart_window:管理智能窗户,窗户控制,窗户管理
search:搜索,查找,搜索内容
share:分享,共享,分享信息
shutdown:关闭,关机,系统关闭
sync:同步,数据同步,同步设备
update:更新,升级,更新系统
video_call:视频通话,视频电话,视频联系
workout:锻炼,健身,运动训练
zoom_in:放大,放大图片,放大视图
zoom_out:缩小,缩小图片,缩小视图
answer_question:回答问题,问题解答,问题回答
start_workout:开始锻炼,启动健身,运动开始
check_messages:查看信息,信息查看,消息检查
check_in:登记,签到,到达确认
check_out:结账,退房,离开确认
check_schedule:查看日程,日程查看,日程检查
check_updates:查看更新,更新检查,系统更新
connect_device:连接设备,设备连接,连接
create_reminder:创建提醒,提醒创建,备忘设置
create_todo:创建待办事项,待办创建,任务添加
define:定义,解释,定义词汇
describe:描述,叙述,详细说明
disconnect:断开连接,断开,设备断开
explain:解释,阐述,详细解释
find:寻找,查找,发现
follow:跟随,跟踪,遵循
get:获取,得到,取得
give:给予,提供,给与
go:前往,去,移动
help:帮助,协助,支持
join:加入,结合,连接
know:知道,了解,明白
leave:离开,遗留,剩下
look:查看,寻找,观察
make:制作,创造,制造
measure:测量,度量,计量
move:移动,搬迁,改变位置
organize:组织,整理,安排
play:播放,开始,启动
prepare:准备,预备,配置
provide:提供,供应,供给
read:阅读,朗读,阅读内容
record:记录,录制,录音
remember:记住,记忆,回忆
search:搜索,查找,搜寻
see:看到,查看,观察
send:发送,寄送,传递
set:设置,调整,配置
show:展示,显示,呈现
start:开始,启动,发起
stop:停止,结束,中断
study:学习,研究,学习知识
teach:教授,教学,指导
test:测试,检验,检测
text:文本,消息,文字
think:思考,考虑,思索
translate:翻译,转换,译成
try:尝试,试验,努力
turn:转动,旋转,转向
use:使用,利用,应用
view:查看,观看,观察
watch:观看,观察,监视
work:工作,劳动,操作
write:写作,编写,书写
zoom:缩放,放大,缩小
